lat,long,lake,subbasin
42.3289,-82.9220,ER,0
42.3287,-82.9342,ER,0
42.3378,-82.9344,ER,0
42.3376,-82.9466,ER,0
42.3375,-82.9588,ER,0
42.3285,-82.9586,ER,0
42.3283,-82.9709,ER,0
42.3282,-82.9831,ER,0
42.3192,-82.9829,ER,0
42.3190,-82.9951,ER,0
42.3189,-83.0074,ER,0
42.3188,-83.0196,ER,0
42.3186,-83.0318,ER,0
42.3185,-83.0440,ER,0
42.3095,-83.0438,ER,0
42.3093,-83.0561,ER,0
42.3092,-83.0683,ER,0
42.3090,-83.0805,ER,0
42.3000,-83.0803,ER,0
42.2908,-83.0923,ER,0
42.3089,-83.0927,ER,0
42.3090,-83.0805,ER,0
42.3000,-83.0803,ER,0
42.2999,-83.0925,ER,0
42.2908,-83.0923,ER,0
42.2818,-83.0921,ER,0
42.2816,-83.1044,ER,0
42.2726,-83.1042,ER,0
42.2636,-83.1040,ER,0
42.2634,-83.1162,ER,0
42.2544,-83.1160,ER,0
42.2454,-83.1158,ER,0
42.2363,-83.1156,ER,0
42.2273,-83.1154,ER,0
42.2182,-83.1152,ER,0
42.2092,-83.1150,ER,0
42.2002,-83.1148,ER,0
42.2003,-83.1026,ER,0
42.1913,-83.1024,ER,0
42.1911,-83.1146,ER,0
42.1821,-83.1144,ER,0
42.1731,-83.1142,ER,0
42.1732,-83.1020,ER,0
42.1642,-83.1018,ER,0
42.1640,-83.1140,ER,0
42.1550,-83.1138,ER,0
42.1548,-83.1260,ER,0
42.1458,-83.1258,ER,0
42.1368,-83.1256,ER,0
42.1277,-83.1254,ER,0
42.1187,-83.1252,ER,0
42.1097,-83.1250,ER,0
42.1006,-83.1248,ER,0
42.0916,-83.1246,ER,0
42.0825,-83.1244,ER,0
42.0735,-83.1242,ER,0
42.0645,-83.1240,ER,0
42.0554,-83.1238,ER,0
42.0464,-83.1236,ER,0
42.0465,-83.1115,ER,0
42.0375,-83.1113,ER,0
42.0376,-83.0991,ER,0
42.0286,-83.0989,ER,0
42.0288,-83.0867,ER,0
42.0289,-83.0746,ER,0
42.0290,-83.0624,ER,0
42.0292,-83.0502,ER,0
42.0201,-83.0501,ER,0
42.0203,-83.0379,ER,0
42.0204,-83.0257,ER,0
42.0114,-83.0255,ER,0
42.0115,-83.0134,ER,0
42.0116,-83.0012,ER,0
42.0118,-82.9890,ER,0
42.0027,-82.9889,ER,0
42.0029,-82.9767,ER,0
41.9938,-82.9765,ER,0
41.9940,-82.9644,ER,0
41.9849,-82.9642,ER,0
41.9851,-82.9520,ER,0
41.9760,-82.9519,ER,0
41.9761,-82.9397,ER,0
41.9763,-82.9275,ER,0
41.9764,-82.9154,ER,0
41.9765,-82.9032,ER,0
41.9766,-82.8911,ER,0
41.9857,-82.8912,ER,0
41.9858,-82.8791,ER,0
41.9859,-82.8669,ER,0
41.9860,-82.8548,ER,0
41.9862,-82.8426,ER,0
41.9863,-82.8304,ER,0
41.9864,-82.8183,ER,0
41.9954,-82.8184,ER,0
41.9955,-82.8063,ER,0
41.9956,-82.7941,ER,0
42.0047,-82.7943,ER,0
42.0048,-82.7821,ER,0
42.0049,-82.7699,ER,0
42.0050,-82.7578,ER,0
42.0140,-82.7579,ER,0
42.0142,-82.7457,ER,0
42.0143,-82.7336,ER,0
42.0233,-82.7337,ER,0
42.0234,-82.7215,ER,0
42.0235,-82.7094,ER,0
42.0236,-82.6972,ER,0
42.0237,-82.6850,ER,0
42.0327,-82.6852,ER,0
42.0328,-82.6730,ER,0
42.0329,-82.6608,ER,0
42.0239,-82.6607,ER,0
42.0240,-82.6485,ER,0
